Ticker,Time,Bid,Ask
AMZN,01.02.2016 00:00:01.562,502.10001,502.11999
AMZN,01.02.2016 00:00:02.909,502.10003,502.11997
AMZN,01.02.2016 00:00:04.396,502.10007,502.11993
AMZN,01.02.2016 00:00:05.970,502.10008,502.11992
AMZN,01.02.2016 00:00:07.402,502.10009,502.11991
AMZN,01.02.2016 00:00:08.948,502.10012,502.11988
AMZN,01.02.2016 00:00:10.316,502.10013,502.11987
AMZN,01.02.2016 00:00:11.829,502.10015,502.11985
AMZN,01.02.2016 00:00:13.212,502.10016,502.11984
AMZN,01.02.2016 00:00:14.616,502.10015,502.11985
